root,node,count,Category,color
WI,IL,0,Survey,#c04b6d
WI,IN,0,Survey,#c04b6d
WI,Kane,0,Survey,#c04b6d
WI,Kendall,0,Survey,#c04b6d
WI,CBD,0,Survey,#c04b6d
WI,Lake,0,Survey,#c04b6d
WI,McHenry,0,Survey,#c04b6d
WI,North Chicago,0,Survey,#c04b6d
WI,North Cook,0,Survey,#c04b6d
WI,South Chicago,0,Survey,#c04b6d
WI,South Cook,0,Survey,#c04b6d
WI,West Chicago,0,Survey,#c04b6d
WI,West Cook,0,Survey,#c04b6d
WI,Will,0,Survey,#c04b6d
WI,DuPage,1125,Model,#c04b6d
WI,IL,3455,Model,#c04b6d
WI,IN,30,Model,#c04b6d
WI,Kane,1625,Model,#c04b6d
WI,Kendall,5,Model,#c04b6d
WI,CBD,385,Model,#c04b6d
WI,Lake,61595,Model,#c04b6d
WI,McHenry,18170,Model,#c04b6d
WI,North Chicago,1850,Model,#c04b6d
WI,North Cook,7515,Model,#c04b6d
WI,South Chicago,175,Model,#c04b6d
WI,South Cook,60,Model,#c04b6d
WI,WI,1199320,Model,#c04b6d
WI,West Chicago,410,Model,#c04b6d
WI,West Cook,1135,Model,#c04b6d
WI,Will,30,Model,#c04b6d
Will,DuPage,21317226.33,Survey,#bc4850
Will,IL,35291482.12,Survey,#bc4851
Will,IN,115693.8428,Survey,#bc4852
Will,Kane,4590497.028,Survey,#bc4853
Will,Kendall,27171802.37,Survey,#bc4854
Will,CBD,534001.0128,Survey,#bc4855
Will,Lake,1096168.896,Survey,#bc4856
Will,McHenry,610388.067,Survey,#bc4857
Will,North Chicago,1178722.022,Survey,#bc4858
Will,North Cook,958695.5061,Survey,#bc4859
Will,South Chicago,1146255.353,Survey,#bc4860
Will,South Cook,19356864.19,Survey,#bc4861
Will,West Chicago,800340.8601,Survey,#bc4862
Will,West Cook,3551544.387,Survey,#bc4863
Will,Will,397881050.2,Survey,#bc4864
Will,DuPage,179790,Model,#bc4865
Will,IL,37280,Model,#bc4866
Will,IN,19195,Model,#bc4867
Will,Kane,23305,Model,#bc4868
Will,Kendall,29995,Model,#bc4869
Will,CBD,7130,Model,#bc4870
Will,Lake,905,Model,#bc4871
Will,McHenry,525,Model,#bc4872
Will,North Chicago,9255,Model,#bc4873
Will,North Cook,5600,Model,#bc4874
Will,South Chicago,14785,Model,#bc4875
Will,South Cook,149835,Model,#bc4876
Will,WI,30,Model,#bc4877
Will,West Chicago,8405,Model,#bc4878
Will,West Cook,40970,Model,#bc4879
Will,Will,1308350,Model,#bc4880
