OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
14902,758.000000000000000,South Chicago,0.033998190936661,0.000070855189816
14903,757.000000000000000,South Chicago,0.034006452559262,0.000070895884667
14904,754.000000000000000,South Chicago,0.034114660117859,0.000071257615086
14905,753.000000000000000,South Chicago,0.034054455867549,0.000070962891092
14906,750.000000000000000,South Chicago,0.033938892537011,0.000070493863370
14907,749.000000000000000,South Chicago,0.033920392996309,0.000070406540182
14908,746.000000000000000,South Chicago,0.033865984343618,0.000070222647160
14909,745.000000000000000,South Chicago,0.033989603908773,0.000070730434506
14910,627.000000000000000,South Chicago,0.034194024688491,0.000071503986824
14911,626.000000000000000,South Chicago,0.034185191591895,0.000071462583364
14912,623.000000000000000,South Chicago,0.034078086371943,0.000071078290161
14913,622.000000000000000,South Chicago,0.034094116304801,0.000071152403345
14914,619.000000000000000,South Chicago,0.034108223691221,0.000071228470996
14915,618.000000000000000,South Chicago,0.034128739980552,0.000071333674638
14916,2715.000000000000000,South Cook,0.034009944200401,0.000070906116374
14917,767.000000000000000,South Chicago,0.034027991563255,0.000070861965614
14918,764.000000000000000,South Chicago,0.033994386458446,0.000070779013393
14919,763.000000000000000,South Chicago,0.034027317976669,0.000070938338404
14920,760.000000000000000,South Chicago,0.033969563720669,0.000070753035822
14921,759.000000000000000,South Chicago,0.033976918674457,0.000070787412693
14922,756.000000000000000,South Chicago,0.034093192727130,0.000071175055012
14923,755.000000000000000,South Chicago,0.034033570165919,0.000070883144960
14924,752.000000000000000,South Chicago,0.033967183343442,0.000070596877294
14925,751.000000000000000,South Chicago,0.033949020610088,0.000070509211498
14926,748.000000000000000,South Chicago,0.033864764033642,0.000070221035157
14927,747.000000000000000,South Chicago,0.034069469335280,0.000071025647357
14928,629.000000000000000,South Chicago,0.034236857691220,0.000071662231754
14929,628.000000000000000,South Chicago,0.034228841042219,0.000071625198024
14930,625.000000000000000,South Chicago,0.033955340781736,0.000070631321103
14931,624.000000000000000,South Chicago,0.033972189122393,0.000070707926412
14932,621.000000000000000,South Chicago,0.034220011251431,0.000071639449103
14933,620.000000000000000,South Chicago,0.034242034899729,0.000071749903973
14934,2717.000000000000000,South Cook,0.033877806848606,0.000070421194204
14935,820.000000000000000,South Chicago,0.034145282714221,0.000071475444878
14936,817.000000000000000,South Chicago,0.034105325277844,0.000071319237152
14937,816.000000000000000,South Chicago,0.034116971987598,0.000071375246430
14938,812.000000000000000,South Chicago,0.034003224503405,0.000070950766497
14939,813.000000000000000,South Chicago,0.033983386007507,0.000070853589499
14940,809.000000000000000,South Chicago,0.034167190294731,0.000071539890380
14941,808.000000000000000,South Chicago,0.034214514446680,0.000071770134429
14942,805.000000000000000,South Chicago,0.034241480906665,0.000071906928127
14943,804.000000000000000,South Chicago,0.034251975324992,0.000071960328171
14944,801.000000000000000,South Chicago,0.034144820275489,0.000071579043810
14945,800.000000000000000,South Chicago,0.034370871709726,0.000072437304431
14946,2964.000000000000000,South Cook,0.034411748122655,0.000072487527563
14947,2963.000000000000000,South Cook,0.034236027070125,0.000071624501003
14948,2960.000000000000000,South Cook,0.033852221398034,0.000070126341479
14949,2959.000000000000000,South Cook,0.033853565017853,0.000070129937312
14950,2956.000000000000000,South Cook,0.034060857549266,0.000070856894946
14951,2955.000000000000000,South Cook,0.034025769325343,0.000070686235299
14952,2952.000000000000000,South Cook,0.033999021246339,0.000070547997928
14953,822.000000000000000,South Chicago,0.033946099986218,0.000070474060143
14954,819.000000000000000,South Chicago,0.033881592593476,0.000070240319778
14955,818.000000000000000,South Chicago,0.033881110437388,0.000070238929141
14956,815.000000000000000,South Chicago,0.033741505356264,0.000069732665576
14957,814.000000000000000,South Chicago,0.033742597963276,0.000069734958482
14958,811.000000000000000,South Chicago,0.033961407910787,0.000070521583857
14959,810.000000000000000,South Chicago,0.033962395393055,0.000070527634675
14960,807.000000000000000,South Chicago,0.033960714109721,0.000070525415525
14961,806.000000000000000,South Chicago,0.033959324906057,0.000070519133313
14962,803.000000000000000,South Chicago,0.033824118601706,0.000070032444151
14963,802.000000000000000,South Chicago,0.034055419964697,0.000070869862285
14964,2966.000000000000000,South Cook,0.034158282075819,0.000071236680950
14965,2965.000000000000000,South Cook,0.034159552566277,0.000071239889346
14966,2962.000000000000000,South Cook,0.033993418548705,0.000070645702948
14967,2961.000000000000000,South Cook,0.033993612125738,0.000070646242039
14968,2958.000000000000000,South Cook,0.033982255020277,0.000070605684059
14969,2957.000000000000000,South Cook,0.033982987581149,0.000070612406952
14970,2954.000000000000000,South Cook,0.033995989640316,0.000070655877540
14971,857.000000000000000,South Chicago,0.033865445286783,0.000070283918711
14972,856.000000000000000,South Chicago,0.033844202443969,0.000070183341309
14973,853.000000000000000,South Chicago,0.034004691354196,0.000070740102353
14974,852.000000000000000,South Chicago,0.033997918497650,0.000070705936138
14975,849.000000000000000,South Chicago,0.033880496078812,0.000070308105380
14976,848.000000000000000,South Chicago,0.034017581350947,0.000070856547833
14977,790.000000000000000,South Chicago,0.034345397033562,0.000072062770622
14978,789.000000000000000,South Chicago,0.034335512844626,0.000072011418093
